id,challenge_text,cat_Film & Photo,cat_Toys & Accessories,cat_Roleplay & Teasing,cat_Sensory & Touch,cat_Location & Adventure,cat_Quick & Playful,notes_for_new_ideas
sd-1,Take one photo of them they are not allowed to see until later tonight. Lighting has to be flattering on purpose.,yes,,,,,yes,
sd-2,Record a 15-second voice note of what you want to do to them — send it while they are in another room.,yes,,yes,,,,
sd-3,Film a slow undress from the neck down. No faces. Watch it together before anything else happens.,yes,,,,,,
sd-4,"Set a lamp, a candle, or phone torch and shoot three stills of their body you actually like. Show them one.",yes,,,yes,,,
sd-5,Take a mirror photo together that you would never post. Keep it in a locked album.,yes,,,,yes,,
sd-6,"Send a photo mid-day with one piece of clothing already gone, no caption except a time.",yes,,yes,,,yes,
sd-7,Blindfold them. Use three different textures on their skin. They guess. Wrong guess means you linger.,,yes,,yes,,,
sd-8,Put a toy or accessory on the bed as the only instruction. No talking for the first five minutes.,,yes,,,,yes,
sd-9,Ice cube or warm mug — pick one. Trace it until they say stay or stop.,,yes,,yes,,,
sd-10,Tie or hold their wrists with something soft. You decide the pace. They decide the word that ends it.,,yes,yes,,,,
sd-11,"Headphones in. Play one song. Touch only to the beat. When it ends, you stop.",,yes,,yes,,yes,
sd-12,Pick a toy you have not used in a while. The other person names how it gets used tonight.,,yes,,,,,
sd-13,Text them one explicit instruction they have to follow in public without anyone noticing.,,,yes,,yes,,
sd-14,For the next hour they call you a name you choose. Stay in it even when you laugh.,,,yes,,,,
sd-15,Send three daytime texts that get filthier. The last one names a time you will make it real.,,,yes,,,yes,
sd-16,You are in charge from the first kiss until they ask to switch. No asking 'is this okay' unless they use the stop word.,,,yes,yes,,,
sd-17,Whisper what you are about to do before you do it. Do not skip the sentence.,,,yes,,,yes,
sd-18,Act like you just met. Pick them up in your own kitchen. Take them 'home'.,,,yes,,yes,,
sd-19,A full slow massage with a rule: no sex until they ask twice.,,,,yes,,,
sd-20,"Mouth only, ten minutes, no hands. Timer on the nightstand.",,,,yes,,yes,
sd-21,Kiss every place you usually skip. Name them as you go.,,,,yes,,,
sd-22,"Temperature play: shower hot, then cooler hands. Stay until their breathing changes.",,,,yes,yes,,
sd-23,"Hold eye contact for one whole song while you touch them. If you look away, start the song over.",,,yes,yes,,,
sd-24,Use only your mouth and breath on their neck and chest until they pull you in.,,,,yes,,yes,
sd-25,Start in a room you do not usually use. Finish wherever you end up.,,,,,yes,,
sd-26,Against a closed door. Clothes stay mostly on until someone begs.,,,,,yes,yes,
sd-27,"Parked car, driveway or quiet street. Ten minutes. Then you go inside like nothing happened.",,,,,yes,yes,
sd-28,Shower together with a rule: one of you does not get to touch themselves. The other one does the work.,,,,yes,yes,,
sd-29,Couch first. Bed is only if you both still want more after.,,,,,yes,,
sd-30,Go for a walk. At some point pull them somewhere slightly too public and kiss like you mean it.,,,yes,,yes,,
sd-31,Five-minute timer. Get them as close as you can. Stop on zero. Decide together whether to start it again.,,,,yes,,yes,
sd-32,Strip race. Loser gives a three-minute lap sit with no kissing.,,,,,,yes,
sd-33,They pick a number 1 to 10. That many slow strokes or kisses. Then you ask if they want the next ten.,,,,yes,,yes,
sd-34,"One song, standing up. Grind, kiss, or both. When the song ends, freeze for a count of five.",,,,,,yes,
sd-35,Dare them to keep a straight face while you touch them under a blanket during a show.,,,yes,,,yes,
sd-36,Write a one-line dare on a note. Put it in their pocket. They have to do it before bed.,,,yes,,,yes,
sd-37,Take a photo of your hand on them that only they would recognize. Send it with no context.,yes,,,,,yes,
sd-38,Video the two of you kissing until it stops being polite. Watch the last ten seconds together.,yes,,,yes,,,
sd-39,Wear or hold one accessory they chose. You do not take it off until they say so.,,yes,yes,,,,
sd-40,"Feather, nail, or ice. Two minutes each. They rank them. Winner gets used again.",,yes,,yes,,yes,
sd-41,"Give them a job for the evening: they ask, you do. They only get three asks.",,,yes,,,,
sd-42,Tease them in a doorway every time they walk through it tonight. No follow-through until the last one.,,,yes,,yes,,
sd-43,"Oil or lotion, lights low. One of you is not allowed to rush. The other one is not allowed to help.",,,,yes,,,
sd-44,"Bite, then soothe, on a place they name. Twice.",,,,yes,,yes,
sd-45,Kitchen counter or washing machine. Something that hums is a bonus.,,,,,yes,,
sd-46,"Outside after dark, coats on. Hands only. Back inside before anyone sees.",,,,,yes,yes,
sd-47,"A 60-second dare: get them making a sound. If you fail, they get 60 seconds on you.",,,,,,yes,
sd-48,Swap who usually starts. The usual starter is not allowed to initiate — only answer.,,,yes,,,yes,
sd-49,Film a slow kiss from the neck down. Stop before it gets explicit. Save it for later.,yes,,,yes,,,
sd-50,Put the toy on a timer they cannot see. They find out when it starts.,,yes,,,,yes,
sd-51,Text them a role they have to stay in until they get home — even in the grocery line.,,,yes,,,,
sd-52,"Trace their outline with one finger, never lifting, until they ask you to stop or keep going.",,,,yes,,,
sd-53,Take them somewhere you have never been intimate and kiss them like you might get caught.,,,,,yes,,
sd-54,Ninety-second dare: they pick a body part. You have that long to make it their favorite.,,,,yes,,yes,
sd-55,Send a photo of the outfit you will take off later. Nothing else — let them wait.,yes,,yes,,,,
sd-56,Lay out three toys. They pick one without looking. You commit to using it.,,yes,,,,yes,
sd-57,"Write a scene on a note they find later. Play it out as written, no improvising the first round.",,,yes,,,,
sd-58,"Warm oil, slow hands, no talking. If they speak, start the massage over.",,,,yes,,,
sd-59,Meet them at the door already ready. Location is the hallway until you both agree to move.,,,,,yes,yes,
sd-60,Coin flip: winner names a five-minute dare. Loser does it immediately.,,,,,,yes,
NEW-1,,,,,,,,
NEW-2,,,,,,,,
NEW-3,,,,,,,,
NEW-4,,,,,,,,
NEW-5,,,,,,,,
NEW-6,,,,,,,,
NEW-7,,,,,,,,
NEW-8,,,,,,,,
NEW-9,,,,,,,,
NEW-10,,,,,,,,
NEW-11,,,,,,,,
NEW-12,,,,,,,,
NEW-13,,,,,,,,
NEW-14,,,,,,,,
NEW-15,,,,,,,,
NEW-16,,,,,,,,
NEW-17,,,,,,,,
NEW-18,,,,,,,,
NEW-19,,,,,,,,
NEW-20,,,,,,,,
