stage,stage_label,order,title,description,source_file,notes_for_new_ideas
pre_foreplay,Pre-Foreplay,1,Favorite Memory,"{player}, send {partner} a text describing your favorite physical memory of them.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,2,Whispered Desire,"{player}, send a voice message whispering one thing you want to do to them tonight.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,3,Subtle Tease,"{player}, text {partner} a subtle photo of what you are wearing right now.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,4,Turn-On Trio,"{player}, send a text listing three specific things {partner} does that instantly turn you on.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,5,Secret Keyword,"{player}, text {partner} a secret keyword. Whenever either of you says it tonight, the other must touch them.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,6,Countdown Timer,"{player}, send a text setting a countdown timer for when you get to touch each other tonight.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,7,Fantasy Question,"{player}, text {partner} a 'Yes/No' question about a fantasy you’ve never tried together.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,8,Daily Mandate,"{player}, send a text giving {partner} one rule they must follow for the rest of the day.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,9,Style Choice,"{player}, text {partner} asking them to choose your underwear/attire for tonight.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,10,First Touch Preview,"{player}, send a teaser text describing exactly where your hands will go the moment you are alone.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,11,Rear Embrace,"{player}, give {partner} a long, silent hug from behind for at least 30 seconds.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,12,Spine Trace,"{player}, walk up to {partner}, trace your finger down their spine, and walk away without saying a word.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,13,Neck Kisses,"{player}, kiss {partner}'s neck three times, then immediately return to what you were doing.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,14,Static Hold,"{player}, hold hands with {partner} for 2 minutes while doing whatever routine task you are doing.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,15,Ear Whispers,"{player}, whisper a secret desire directly into {partner}'s ear while standing close behind them.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,16,Hair & Cheeks,"{player}, run your fingers through {partner}'s hair while giving them a slow, soft kiss on the cheek.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,17,Thigh Contact,"{player}, touch {partner}'s inner thigh under the table/desk for 10 seconds.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,18,Extended Kiss,"{player}, pull {partner} in for a deep kiss that lasts at least 15 seconds—no hands below the waist yet.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,19,Lip Trace,"{player}, trace {partner}'s lips with your thumb while looking directly into their eyes.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,20,Lower Back Touch,"{player}, rest your hand on {partner}'s lower back while walking or standing together.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,21,Gentle Bite,"{player}, give {partner} a gentle bite on the lower lip during a kiss.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,22,Heartbeat Connection,"{player}, place {partner}'s hand over your heart so they can feel your pulse.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,23,Eye Lock,"{player}, maintain uninterrupted eye contact with {partner} for 60 seconds without speaking.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,24,Lip Bite Tease,"{player}, look at {partner} from across the room and slowly bite your bottom lip until they notice.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,25,Proximity Test,"{player}, stand face-to-face, less than an inch apart, without touching for 30 seconds.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,26,Silent Wink,"{player}, give {partner} 'the look' and wink at them without explaining why.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,27,Teasing Warning,"{player}, whisper 'You have no idea what's coming later' next to their ear.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,28,Slow Glance,"{player}, catch {partner}'s eye and slowly run your tongue over your top teeth.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,29,Full Scan,"{player}, look {partner} up and down slowly, ending with a smile.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,30,Continuous Contact,"{player}, sit next to {partner} and let your shoulders and legs touch continuously for 5 minutes.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,31,No-Touch Protocol,"{player}, establish a temporary rule: No touching allowed for the next 30 minutes, no matter what.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,32,Forbidden Garment,"{player}, tell {partner} one specific piece of clothing they are not allowed to wear later.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,33,One-Handed Service,"{player}, pour {partner} a drink or bring them a snack using only your left hand while keeping your right on their hip.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,34,Atmosphere Shift,"{player}, dim the lights in the main room and put on a smooth background song.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,35,Sensory Trace,"{player}, tell {partner} to close their eyes while you brush a feather, soft cloth, or fingertips across their wrist.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,36,Shoulder Rub,"{player}, give {partner} a 1-minute shoulders and neck rub with zero expectations of going further yet.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,37,Two Truths & A Lie,"{player}, tell {partner} two truth statements and one lie about what you want to do tonight—they have to guess the lie.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,38,Whisper Mode,"{player}, set a timer for 10 minutes. Until it rings, you can only communicate using whispers.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,39,Secret Note,"{player}, write a short, naughty note on a piece of paper and slip it into {partner}'s pocket or hands.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,40,Anticipation Check,"{player}, ask {partner} to rate their current anticipation level from 1 to 10 and tell you how to raise it by two points.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,41,Hand Feeding,"{player}, feed {partner} a bite of food or a piece of fruit by hand.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,42,Body Praises,"{player}, gently whisper three compliments about {partner}'s body while holding their hands.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,43,Partial Access,"{player}, unbutton or unzip one item of {partner}'s clothing, then tell them they have to wait for the rest.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,44,Blind Tracing,"{player}, trace an invisible letter or word on {partner}'s palm or back and make them guess what it is.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,45,Kitchen Slow Dance,"{player}, put {partner}'s hand on your hip and slow dance for one full song in the kitchen or living room.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,46,Lipstick Mark,"{player}, apply lip balm or lipstick and press a kiss onto {partner}'s neck or collarbone.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,47,Wrist Kiss,"{player}, give {partner} a slow, deliberate kiss on the inside of their wrist.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,48,Lap Rest,"{player}, sit on {partner}'s lap for 1 minute while talking about your day.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,49,Warm Breath,"{player}, gently blow on the back of {partner}'s neck while standing behind them.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,50,Direct Intention,"{player}, hold {partner} by the waist, look them in the eyes, and say: 'I've been thinking about you all day.'.",pre-foreplay.json,
pre_foreplay,Pre-Foreplay,51,Smile Tease,"{player}, text {partner} asking them to send a 5-second video showing only their smile.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,52,First Garment,"{player}, send a text describing the exact piece of clothing you want them to take off first tonight.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,53,Soundtrack Hint,"{player}, text {partner} a song and tell them to listen to the lyrics while thinking of you.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,54,Location Tease,"{player}, send a voice note dropping a hint about what room in the house you want to start in tonight.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,55,Kiss Count,"{player}, text {partner} asking them to pick a random number between 1 and 10—that’s how many kisses they owe you the second you walk through the door.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,56,Color Guess,"{player}, send a sneaky text asking them to guess what color underwear you wore today.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,57,Target Practice,"{player}, text {partner} a photo of a spot on your body where you want a kiss later.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,58,Wildcard Pass,"{player}, send a text giving them permission to interrupt you once tonight with a passionate kiss, no matter what you are doing.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,59,Single Word,"{player}, text {partner} a single naughty word that sums up your mood today.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,60,Waist Boundary,"{player}, send a teaser text telling {partner} they aren't allowed to touch your waist until you say so.",pre-foreplay-2.json,
pre_foreplay,Pre-Foreplay,61,Doorway Welcome,"{player}, meet {partner} at the front door and give them a 5-second lingering kiss on the lips before saying 'welcome home.'.",pre-foreplay-2.json,
